,,,,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,,INE 2020,INE 2023,INE 2017 %,INE 2017 %,INE 2017 %,MIDESO 2017 %,MIDESO 2017 %,MIDESO 2020 %,MIDESO 2022 %,,MIDESO 2022 %,,,,,,,,,
NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,POB_TOTAL,POB_HOM,POB_MUJ,POB_EDAD_0_14,POB_EDAD_15_64,POB_EDAD_MAS_65,SUPERFICIE,DENSIDAD 2020,DENSIDAD,%POB_RURAL,%POB_ETNIA,%POB_MIGRANTE,%POBREZA_ING,%POBREZA_MULTI,%POBREZA_ING,%POBREZA_ING,POBREZA_ING_EXTR,%POBREZA_MULTI,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Los Lagos,10,Quellón,10208,29309,14772,50,14537,50,6461,22.04442321,20509,69.97509297,2339,7.98048381,"29,942","15,090","14,852",20.99,70.05,8.96,"3,344.60",8.76,8.95,34.49,49.35,1.51,13.1%,36.3%,11.9%,9.0%,,29.9%,None,Medio-alta,4.506092029,,None,10.24,155.73,47.77,951.32
Los Lagos,10,Quemchi,10209,8783,4425,50,4358,50,1585,18.04622566,5711,65.02334054,1487,16.93043379,"8,760","4,412","4,348",16.87,64.41,18.72,440.70,19.93,19.88,69.92,38.57,0.82,20.3%,39.8%,10.0%,12.4%,,23.4%,None,Medio-alta,9.583969909,,None,11.39,68.34,34.16,432.85
Los Lagos,10,Quinchao,10210,8298,4092,49,4206,51,1522,18.3417691,5420,65.31694384,1356,16.34128706,"8,212","4,047","4,165",17.21,64.71,18.08,157.69,52.62,52.08,60.32,50.51,0.66,27.0%,43.4%,14.2%,12.4%,,25.2%,None,Alta,14.8821885,,None,12.05,157.16,120.51,1402.32
Los Lagos,10,Osorno,10301,173410,85181,49,88229,51,33115,19.09636122,118216,68.17138573,22079,12.73225304,"175,670","86,196","89,474",18.03,67.77,14.19,954.96,181.59,183.95,8.44,29.83,1.00,8.5%,22.0%,10.5%,6.2%,,14.2%,None,Medio-baja,-5.050890041,,None,51.90,173.30,220.86,573.83
Los Lagos,10,Puerto Octay,10302,9192,4677,51,4515,49,1680,18.2767624,6255,68.04830287,1257,13.67493473,"9,089","4,621","4,468",17.21,67.60,15.19,"1,793.45",5.13,5.07,77.19,33.78,1.07,14.0%,27.4%,13.8%,7.5%,,30.7%,None,Medio-alta,8.357180228,,None,32.64,131.02,152.31,600.50
Los Lagos,10,Purranque,10303,21080,10466,50,10614,50,3944,18.70967742,13690,64.943074,3446,16.34724858,"20,998","10,426","10,572",17.53,64.34,18.13,"1,450.36",14.53,14.48,29.29,28.01,0.69,11.2%,29.5%,11.6%,8.6%,,25.8%,None,Medio-alta,4.46709445,,None,71.16,194.68,284.63,674.26
Los Lagos,10,Puyehue,10304,11787,5920,50,5867,50,2129,18.06227199,7829,66.4206329,1829,15.5170951,"11,813","5,933","5,880",16.96,65.85,17.19,"1,642.28",7.18,7.19,57.16,34.16,0.76,12.2%,30.1%,14.7%,9.6%,,23.9%,None,Medio-alta,5.735428607,,None,50.90,237.29,169.68,635.59
Los Lagos,10,Río Negro,10305,14275,7145,50,7130,50,2543,17.81436077,9281,65.01576182,2451,17.16987741,"14,133","7,078","7,055",16.66,64.40,18.94,"1,267.15",11.27,11.15,50.42,35.53,0.42,15.3%,27.9%,13.3%,8.3%,,23.0%,None,Medio-alta,6.869952717,,None,63.05,238.95,196.15,625.48
Los Lagos,10,San Juan de la Costa,10306,7639,3936,52,3703,48,1226,16.0492211,4885,63.94816075,1528,20.00261814,"7,482","3,849","3,633",14.88,63.14,21.99,"1,518.12",5.03,4.93,84.42,79.49,0.30,32.1%,53.3%,22.2%,12.9%,,38.9%,None,Alta,23.60249396,,None,78.54,487.48,392.72,1475.63
Los Lagos,10,San Pablo,10307,10553,5281,50,5272,50,1825,17.29366057,6790,64.3418933,1938,18.36444613,"10,543","5,275","5,268",16.21,63.55,20.24,627.52,16.82,16.80,54.05,43.89,0.66,16.6%,31.6%,12.3%,9.8%,,25.5%,None,Alta,11.3444803,,None,56.86,303.15,199.00,653.66
