,,,,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,,INE 2020,INE 2023,INE 2017 %,INE 2017 %,INE 2017 %,MIDESO 2017 %,MIDESO 2017 %,MIDESO 2020 %,MIDESO 2022 %,,MIDESO 2022 %,,,,,,,,,
NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,POB_TOTAL,POB_HOM,POB_MUJ,POB_EDAD_0_14,POB_EDAD_15_64,POB_EDAD_MAS_65,SUPERFICIE,DENSIDAD 2020,DENSIDAD,%POB_RURAL,%POB_ETNIA,%POB_MIGRANTE,%POBREZA_ING,%POBREZA_MULTI,%POBREZA_ING,%POBREZA_ING,POBREZA_ING_EXTR,%POBREZA_MULTI,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Los Lagos,10,Chaitén,10401,5020,2610,52,2410,48,901,17.94820717,3492,69.56175299,627,12.49003984,"5,061","2,626","2,435",16.95,69.16,13.89,"8,290.48",0.61,0.61,67.60,26.79,1.08,12.2%,26.7%,10.3%,9.0%,,24.7%,None,Medio-baja,-1.947658739,,None,0.00,39.74,39.84,456.98
Los Lagos,10,Futaleufú,10402,2806,1411,50,1395,50,512,18.2466144,1910,68.0684248,384,13.6849608,"2,889","1,455","1,434",17.03,67.77,15.20,"1,236.58",2.27,2.34,29.17,18.88,6.09,10.7%,28.7%,13.4%,5.6%,,22.7%,None,Medio-baja,-3.078204561,,None,0.00,70.55,71.28,493.83
Los Lagos,10,Hualaihué,10403,9525,4848,51,4677,49,1994,20.9343832,6356,66.72965879,1175,12.33595801,"9,579","4,871","4,708",19.74,66.50,13.76,"2,892.82",3.29,3.31,59.29,35.12,0.41,17.0%,29.4%,12.8%,10.4%,,26.2%,None,Medio-alta,6.909013604,,None,31.50,157.13,104.99,565.68
Los Lagos,10,Palena,10404,1827,919,50,908,50,298,16.31089217,1224,66.99507389,305,16.69403394,"1,824",918,906,15.73,65.79,18.48,"2,656.28",0.69,0.69,37.17,19.67,3.37,10.0%,23.9%,12.9%,9.1%,,20.5%,None,Medio-baja,-1.750943626,,None,0.00,164.29,0.00,821.47
Aysén,11,Coyhaique,11101,61210,30555,50,30655,50,13561,22.15487665,41391,67.62130371,6258,10.22381964,"61,885","30,776","31,109",20.90,67.51,11.59,"7,278.13",8.41,8.50,13.58,26.06,2.18,2.8%,18.1%,5.9%,2.9%,,14.0%,None,Medio-baja,-7.88747119,,None,21.24,89.44,102.92,489.46
Aysén,11,Lago Verde,11102,920,494,54,426,46,152,16.52173913,621,67.5,147,15.97826087,915,486,429,15.30,66.67,18.03,"5,437.76",0.17,0.17,100.00,27.64,2.83,12.0%,25.0%,6.1%,0.9%,,18.0%,None,Medio-baja,-2.444203688,,None,0.00,108.81,0.00,108.81
Aysén,11,Aysén,11201,25002,12786,51,12216,49,5601,22.40220782,16877,67.50259979,2524,10.09519238,"25,180","12,839","12,341",21.18,67.34,11.49,"29,906.07",0.84,0.84,15.24,34.14,1.49,6.8%,19.4%,6.9%,5.3%,,12.8%,None,Medio-baja,-2.44646474,,None,0.00,111.62,87.99,637.83
Aysén,11,Cisnes,11202,5828,3020,52,2808,48,1247,21.39670556,4009,68.78860673,572,9.814687714,"5,865","3,032","2,833",20.24,68.75,11.01,"15,408.50",0.38,0.38,36.87,31.64,1.34,6.5%,17.7%,8.3%,5.0%,,12.3%,None,Medio-baja,-6.484134907,,None,34.32,85.54,102.95,872.54
Aysén,11,Guaitecas,11203,1599,838,52,761,48,347,21.70106316,1111,69.48092558,141,8.818011257,"1,608",841,767,20.65,69.59,9.76,631.38,2.53,2.55,7.49,51.04,1.02,12.2%,23.8%,7.3%,6.1%,,22.2%,None,Medio-baja,-5.513314091,,None,0.00,62.34,0.00,498.75
Aysén,11,Cochrane,11301,3685,1910,52,1775,48,760,20.62415197,2514,68.22252374,411,11.15332429,"3,731","1,924","1,807",19.46,67.92,12.62,"8,634.17",0.43,0.43,18.60,19.63,1.39,5.9%,21.8%,9.8%,6.3%,,14.3%,None,Medio-baja,-8.507998853,,None,0.00,27.00,54.27,242.98
Aysén,11,O'Higgins,11302,661,350,53,311,47,138,20.8774584,475,71.86081694,48,7.26172466,672,353,319,19.79,71.88,8.33,"7,750.71",0.09,0.09,100.00,29.67,1.87,8.2%,24.9%,1.4%,9.2%,,12.1%,None,Medio-baja,-12.68546499,,None,0.00,0.00,151.29,300.75
Aysén,11,Tortel,11303,572,294,51,278,49,134,23.42657343,391,68.35664336,47,8.216783217,582,297,285,21.99,68.21,9.79,"20,106.43",0.03,0.03,100.00,38.95,0.72,14.5%,27.3%,5.9%,4.6%,,12.3%,None,Medio-baja,-4.283600468,,None,0.00,0.00,0.00,173.61
Aysén,11,Chile Chico,11401,5121,2625,51,2496,49,983,19.19546963,3445,67.27201718,693,13.53251318,"5,157","2,636","2,521",17.90,66.88,15.22,"5,747.37",0.89,0.90,35.01,25.01,3.39,5.3%,20.1%,6.4%,6.2%,,16.3%,None,Medio-baja,-6.014456491,,None,0.00,77.85,136.69,525.50
Aysén,11,Río Ibáñez,11402,2699,1404,52,1295,48,423,15.67247129,1774,65.72804742,502,18.59948129,"2,711","1,408","1,303",14.75,64.63,20.62,"5,990.94",0.45,0.45,100.00,29.85,1.91,6.5%,26.9%,14.5%,7.0%,,18.8%,None,Medio-alta,1.298342007,,None,0.00,147.87,0.00,332.72
Magallanes,12,Punta Arenas,12101,141984,71716,51,70268,49,25738,18.12739464,98582,69.43176696,17664,12.4408384,"144,938","73,265","71,673",17.27,68.91,13.82,"17,768.88",7.99,8.16,4.30,21.88,2.52,2.1%,10.3%,5.4%,3.5%,,7.1%,None,Medio-baja,-14.30964633,,None,133.82,169.69,395.11,277.22
Magallanes,12,Laguna Blanca,12102,264,155,59,109,41,50,18.93939394,182,68.93939394,32,12.12121212,252,149,103,17.06,69.84,13.10,"3,497.79",0.08,0.07,100.00,23.70,1.10,2.9%,2.7%,5.0%,2.3%,,0.4%,None,Medio-baja,0,,None,0.00,0.00,0.00,772.20
Magallanes,12,Río Verde,12103,211,132,63,79,37,16,7.582938389,161,76.30331754,34,16.11374408,205,129,76,7.32,75.12,17.56,"9,158.58",0.02,0.02,100.00,23.54,4.19,0.7%,9.0%,13.2%,2.8%,,0.1%,None,Medio-baja,0,,None,0.00,0.00,0.00,0.00
Magallanes,12,San Gregorio,12104,681,378,56,303,44,119,17.4743025,493,72.39353891,69,10.13215859,658,366,292,16.72,72.49,10.79,"6,742.96",0.10,0.10,100.00,18.88,0.43,1.3%,5.8%,7.8%,8.1%,,9.4%,None,Baja,-29.79620291,,None,0.00,148.37,293.69,148.37
Magallanes,12,Cabo de Hornos,12201,1983,1022,52,961,48,538,27.13061019,1373,69.23852748,72,3.63086233,"1,973","1,018",955,26.00,70.05,3.95,"15,811.22",0.13,0.12,9.16,21.01,1.48,2.9%,14.6%,3.1%,1.2%,,1.6%,None,Medio-baja,-14.32243804,,None,0.00,0.00,1059.00,252.14
Magallanes,12,Antártica,12202,137,89,65,48,35,19,13.86861314,116,84.67153285,2,1.459854015,148,97,51,12.84,86.49,0.68,,#DIV/0!,,100.00,8.70,0.81,,,,,,,None,,,,None,0.00,1418.44,0.00,709.22
Magallanes,12,Porvenir,12301,7323,3956,54,3367,46,1339,18.28485593,5206,71.09108289,778,10.62406118,"7,570","4,090","3,480",17.44,70.62,11.94,"7,347.95",1.00,1.03,10.87,27.19,3.38,2.1%,8.3%,8.2%,3.6%,,12.4%,None,Baja,-14.62304738,,None,122.90,188.65,559.88,660.29
Magallanes,12,Primavera,12302,694,388,56,306,44,111,15.99423631,530,76.36887608,53,7.636887608,679,379,300,15.61,75.41,8.98,"4,284.45",0.16,0.16,100.00,22.44,1.99,2.3%,8.2%,8.4%,1.3%,,8.0%,None,Baja,-24.12894325,,None,0.00,0.00,144.09,580.55
Magallanes,12,Timaukel,12303,282,180,64,102,36,36,12.76595745,226,80.14184397,20,7.092198582,278,177,101,12.95,79.50,7.55,"11,018.56",0.03,0.03,100.00,19.85,2.10,0.4%,0.6%,5.2%,6.4%,,3.4%,None,Baja,-41.27265451,,None,0.00,0.00,51773.05,68327.40
Magallanes,12,Natales,12401,23782,12088,51,11694,49,4353,18.30375915,16096,67.68143974,3333,14.01480111,"24,447","12,422","12,025",17.36,67.11,15.53,"48,695.37",0.49,0.50,10.70,30.22,3.91,2.3%,14.1%,6.5%,3.1%,,4.6%,None,Medio-baja,-7.709903231,,None,121.94,195.47,4.20,4.16
Magallanes,12,Torres del Paine,12402,1021,571,56,450,44,65,6.366307542,889,87.07149853,67,6.562193928,"1,069",594,475,6.17,86.25,7.58,"6,514.93",0.16,0.16,100.00,14.85,8.76,0.3%,1.8%,6.9%,5.3%,,3.3%,None,Baja,-32.5265848,,None,0.00,0.00,0.00,0.00
Metropolitana,13,Santiago,13101,503147,252429,50,250718,50,57606,11.44913912,405979,80.68795004,39562,7.862910839,"536,089","270,219","265,870",11.32,80.03,8.65,23.14,"21,748.08","23,171.97",0.00,8.35,25.18,4.1%,9.6%,8.4%,3.9%,,16.5%,None,Baja,-16.70111295,,None,96.00,80.42,336.08,505.92
Metropolitana,13,Cerrillos,13102,88956,43990,49,44966,51,17287,19.43320293,61274,68.88124466,10395,11.68555241,"90,060","44,542","45,518",19.09,68.11,12.80,16.78,"5,301.42","5,367.22",0.00,11.45,4.64,6.5%,27.4%,9.0%,5.2%,,22.6%,None,Medio-baja,-6.237726238,,None,127.03,145.22,458.65,471.40
Metropolitana,13,Cerro Navia,13103,142465,70683,50,71782,50,26996,18.9492156,97070,68.13603341,18399,12.91475099,"140,581","69,892","70,689",18.60,67.23,14.16,11.10,"12,837.74","12,667.97",0.00,16.27,4.78,7.6%,34.6%,12.9%,6.0%,,23.0%,None,Medio-alta,2.115020036,,None,264.63,245.25,552.42,581.15
Metropolitana,13,Conchalí,13104,139195,68840,49,70355,51,24821,17.83181867,94535,67.91551421,19839,14.25266712,"137,678","68,190","69,488",17.46,66.95,15.58,11.11,"12,529.07","12,392.52",0.00,10.45,7.32,7.4%,29.4%,12.5%,6.1%,,18.7%,None,Medio-baja,-1.462730367,,None,229.17,207.33,528.75,524.41
Metropolitana,13,El Bosque,13105,172000,84997,49,87003,51,33513,19.48430233,116554,67.76395349,21933,12.75174419,"170,536","84,384","86,152",19.12,66.90,13.98,14.32,"12,007.48","11,905.28",0.00,12.26,2.42,9.6%,22.7%,12.6%,6.2%,,17.5%,None,Medio-baja,-2.212827998,,None,170.93,182.78,345.35,574.54
Metropolitana,13,Estación Central,13106,206792,103730,50,103062,50,33182,16.04607528,149099,72.10095168,24511,11.85297304,"219,897","110,596","109,301",15.78,71.21,13.00,14.35,"14,407.32","15,320.35",0.00,11.07,15.42,5.8%,23.5%,11.7%,5.0%,,22.8%,None,Medio-baja,-2.691679131,,None,111.22,110.04,271.29,407.05
Metropolitana,13,Huechuraba,13107,112528,55399,49,57129,51,25307,22.48951372,76173,67.69248543,11048,9.818000853,"117,121","57,745","59,376",22.06,67.15,10.79,44.90,"2,506.29","2,608.58",0.10,10.02,4.87,5.6%,28.8%,8.3%,4.3%,,18.6%,None,Medio-baja,-6.940444553,,None,170.62,170.38,391.90,332.89
Metropolitana,13,Independencia,13108,142065,71278,50,70787,50,22775,16.03139408,103512,72.86242213,15778,11.10618379,"151,890","76,511","75,379",15.79,72.02,12.19,7.36,"19,314.22","20,649.97",0.00,7.44,28.76,8.5%,20.9%,13.9%,5.8%,,22.4%,None,Medio-alta,0.880968508,,None,247.07,138.16,537.78,371.14
Metropolitana,13,La Cisterna,13109,100434,49492,49,50942,51,17077,17.00320609,68480,68.18408109,14877,14.81271283,"101,377","50,086","51,291",16.62,67.24,16.15,9.98,"10,064.40","10,158.89",0.00,9.33,5.26,6.6%,17.8%,7.8%,4.1%,,13.5%,None,Medio-baja,-10.68101457,,None,179.22,204.70,413.21,562.66
Metropolitana,13,La Florida,13110,402433,197604,49,204829,51,70663,17.5589477,278144,69.11560434,53626,13.32544796,"406,796","200,283","206,513",17.18,68.25,14.56,70.82,"5,682.26","5,743.87",0.03,10.46,3.57,4.5%,19.0%,8.0%,3.5%,,13.2%,None,Medio-baja,-12.76785948,,None,159.03,158.20,441.07,552.83
Metropolitana,13,La Granja,13111,122557,60658,49,61899,51,22716,18.535049,84508,68.95403771,15333,12.51091329,"120,249","59,678","60,571",18.20,68.13,13.68,10.09,"12,147.35","11,918.59",0.00,12.79,2.93,4.8%,21.9%,11.9%,6.0%,,22.3%,None,Medio-baja,-2.402808417,,None,225.20,202.41,526.29,549.05
Metropolitana,13,La Pintana,13112,189335,93550,49,95785,51,42607,22.50349909,128475,67.85591676,18253,9.64058415,"189,151","93,567","95,584",22.17,67.23,10.61,30.45,"6,217.62","6,211.58",0.00,16.00,1.56,14.1%,32.7%,15.3%,9.3%,,27.0%,None,Medio-alta,4.568963559,,None,229.75,174.18,503.34,476.63
Metropolitana,13,La Reina,13113,100252,48824,49,51428,51,17444,17.40015162,67537,67.36723457,15271,15.23261381,"99,686","48,693","50,993",16.99,66.43,16.58,23.44,"4,277.31","4,253.16",0.00,6.45,5.59,1.0%,6.9%,4.7%,1.6%,,4.9%,None,Baja,-19.98604605,,None,114.71,131.40,180.55,307.59
Metropolitana,13,Las Condes,13114,330759,160872,49,169887,51,49059,14.83224946,228736,69.15488316,52964,16.01286737,"341,183","166,299","174,884",14.49,68.08,17.43,99.04,"3,339.61","3,444.86",0.00,3.35,10.08,0.2%,4.2%,2.8%,0.9%,,4.4%,None,Baja,-25.90404937,,None,122.14,95.14,230.38,273.79
Metropolitana,13,Lo Barnechea,13115,124076,60065,48,64011,52,28756,23.17611786,85330,68.77236532,9990,8.051516812,"129,790","63,037","66,753",22.87,68.27,8.86,"1,023.19",121.26,126.85,2.55,5.10,9.88,2.8%,17.2%,5.5%,0.9%,,10.9%,None,Baja,-14.45752639,,None,76.57,68.60,187.79,275.99
Metropolitana,13,Lo Espejo,13116,103865,51737,50,52128,50,19622,18.89183074,71487,68.82684254,12756,12.28132672,"101,615","50,650","50,965",18.57,67.98,13.45,8.24,"12,607.49","12,334.38",0.00,11.77,3.80,6.7%,37.5%,14.4%,6.8%,,28.8%,None,Medio-alta,2.117340184,,None,226.26,227.31,715.35,679.04
Metropolitana,13,Lo Prado,13117,104403,51525,49,52878,51,18129,17.36444355,70490,67.51721694,15784,15.11833951,"102,923","50,864","52,059",16.99,66.44,16.57,6.56,"15,914.97","15,689.37",0.00,14.28,6.82,5.8%,24.5%,13.7%,5.3%,,19.3%,None,Medio-baja,-1.188676497,,None,173.37,191.56,533.51,562.23
Metropolitana,13,Macul,13118,134635,66233,49,68402,51,21568,16.01960857,92815,68.93824043,20252,15.042151,"137,735","67,925","69,810",15.65,67.95,16.40,12.84,"10,483.73","10,725.12",0.00,10.14,5.32,7.5%,13.5%,6.9%,3.5%,,13.4%,None,Medio-baja,-12.69032058,,None,131.47,139.42,170.09,273.71
Metropolitana,13,Maipú,13119,578605,284197,49,294408,51,107957,18.65815193,413753,71.50871493,56895,9.833133139,"586,337","288,216","298,121",18.37,70.83,10.80,137.68,"4,202.65","4,258.81",0.66,10.13,2.37,2.6%,13.2%,7.0%,3.3%,,14.8%,None,Medio-baja,-13.31476377,,None,145.18,142.80,417.21,440.20
Metropolitana,13,Ñuñoa,13120,250192,121869,49,128323,51,35381,14.1415393,177998,71.14456098,36813,14.71389973,"263,319","128,759","134,560",13.76,70.32,15.92,16.86,"14,842.20","15,620.94",0.00,6.92,7.34,0.9%,5.8%,4.0%,1.5%,,5.2%,None,Baja,-24.74702587,,None,145.49,100.85,185.86,281.05
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,53496,50,54307,50,18443,17.10805822,73450,68.13353988,15910,14.7584019,"105,483","52,456","53,027",16.74,67.19,16.08,8.76,"12,312.00","12,047.04",0.00,10.96,5.14,6.2%,26.8%,11.7%,5.5%,,20.2%,None,Medio-baja,-1.994723875,,None,257.88,236.48,717.05,686.16
Metropolitana,13,Peñalolén,13122,266798,131272,49,135526,51,52419,19.64744863,185820,69.64819826,28559,10.70435311,"271,854","134,082","137,772",19.32,68.93,11.76,53.61,"4,976.88","5,071.19",0.00,12.91,4.29,4.4%,26.3%,10.6%,3.2%,,16.6%,None,Medio-baja,-7.305187427,,None,160.42,158.19,164.17,195.32
Metropolitana,13,Providencia,13123,157749,76672,49,81077,51,18822,11.93161288,114337,72.48033268,24590,15.58805444,"162,837","79,371","83,466",11.61,71.52,16.87,14.39,"10,959.25","11,312.72",0.00,5.06,10.66,0.4%,3.4%,3.6%,1.3%,,4.3%,None,Baja,-29.66346648,,None,154.68,140.59,235.18,302.42
Metropolitana,13,Pudahuel,13124,253139,124669,49,128470,51,51432,20.31769107,179169,70.77890013,22538,8.903408799,"260,129","128,268","131,861",20.01,70.20,9.79,197.26,"1,283.29","1,318.72",1.80,12.64,2.83,8.2%,22.5%,8.9%,4.4%,,16.9%,None,Medio-baja,-6.848121904,,None,124.83,118.86,381.21,472.71
Metropolitana,13,Quilicura,13125,254694,126566,50,128128,50,56083,22.01975704,184026,72.25376334,14585,5.726479619,"271,385","135,075","136,310",21.78,71.91,6.31,57.32,"4,443.27","4,734.45",0.26,11.41,7.09,5.7%,17.9%,8.5%,5.2%,,17.0%,None,Medio-baja,-7.722542091,,None,86.38,91.22,260.71,307.64
Metropolitana,13,Quinta Normal,13126,136368,67247,49,69121,51,22871,16.77152998,95273,69.864631,18224,13.36383902,"140,964","69,620","71,344",16.44,68.95,14.61,11.82,"11,539.69","11,928.61",0.00,10.35,10.18,3.7%,23.5%,9.2%,2.1%,,19.7%,None,Medio-baja,-5.703997423,,None,173.06,168.46,436.32,434.83
Metropolitana,13,Recoleta,13127,190075,94387,50,95688,50,32902,17.31000921,132403,69.65829278,24770,13.03169801,"196,073","97,446","98,627",16.96,68.79,14.25,15.78,"12,041.75","12,421.74",0.00,10.90,14.53,6.9%,22.5%,13.2%,5.1%,,21.2%,None,Medio-alta,0.690935965,,None,226.75,147.21,511.38,445.24
Metropolitana,13,Renca,13128,160847,79512,49,81335,51,33787,21.0056762,110166,68.49117484,16894,10.50314896,"162,854","80,546","82,308",20.63,67.84,11.53,23.76,"6,770.95","6,855.44",0.00,13.97,3.50,3.7%,24.5%,10.2%,5.3%,,19.5%,None,Medio-baja,-2.477849332,,None,169.10,176.59,438.30,448.88
Metropolitana,13,San Joaquín,13129,103485,51087,49,52398,51,17091,16.51543702,70537,68.16156931,15857,15.32299367,"103,420","51,105","52,315",16.16,67.11,16.74,9.94,"10,408.60","10,402.06",0.00,10.54,5.85,5.2%,21.1%,11.8%,4.8%,,19.6%,None,Medio-baja,-4.689504269,,None,190.37,204.10,574.00,550.68
Metropolitana,13,San Miguel,13130,133059,65178,49,67881,51,21196,15.92977551,94650,71.13385791,17213,12.93636657,"142,549","70,001","72,548",15.58,70.33,14.09,9.61,"13,841.35","14,828.54",0.00,7.90,6.84,4.8%,17.2%,5.3%,2.2%,,12.9%,None,Baja,-17.63805677,,None,191.64,202.43,435.90,753.46
Metropolitana,13,San Ramón,13131,86510,42906,50,43604,50,15899,18.37822217,57499,66.46514854,13112,15.15662929,"84,495","41,981","42,514",18.00,65.40,16.60,6.28,"13,781.82","13,460.81",0.00,13.73,3.16,4.6%,27.9%,13.2%,6.9%,,19.2%,None,Medio-alta,0.346181681,,None,324.82,301.10,640.39,577.79
Metropolitana,13,Vitacura,13132,96774,46458,48,50316,52,17078,17.64730196,62091,64.16082832,17605,18.19186972,"97,388","46,885","50,503",17.14,63.12,19.74,28.42,"3,405.49","3,427.10",0.00,2.88,10.73,0.1%,3.5%,3.3%,0.9%,,2.4%,None,Baja,-24.33312737,,None,88.87,74.72,284.17,246.69
Metropolitana,13,Puente Alto,13201,645909,317593,49,328316,51,134816,20.87229006,459127,71.08230416,51966,8.045405777,"664,370","327,237","337,133",20.59,70.56,8.85,88.24,"7,320.02","7,529.24",0.00,11.28,1.72,7.3%,23.3%,8.0%,5.0%,,18.9%,None,Medio-baja,-9.463118139,,None,144.29,141.06,409.81,663.17
Metropolitana,13,Pirque,13202,30433,15139,50,15294,50,6130,20.14260835,21080,69.2669142,3223,10.59047744,"32,412","16,141","16,271",19.76,68.63,11.61,445.25,68.35,72.79,56.00,6.70,1.96,4.7%,20.3%,9.2%,2.7%,,19.4%,None,Medio-baja,-9.024141115,,None,111.72,128.48,216.87,369.37
Metropolitana,13,San José de Maipo,13203,18644,9280,50,9364,50,3565,19.12143317,12748,68.375885,2331,12.50268183,"19,330","9,624","9,706",18.70,67.62,13.68,"4,982.59",3.74,3.88,38.38,8.98,3.12,6.0%,24.0%,9.2%,4.7%,,24.4%,None,Medio-baja,-6.110698398,,None,128.73,311.89,520.27,925.09
Metropolitana,13,Colina,13301,180353,89416,50,90937,50,46191,25.61143979,123003,68.20124977,11159,6.187310441,"193,594","96,023","97,571",25.19,68.00,6.81,970.70,185.80,199.44,19.28,9.03,6.58,6.4%,25.5%,8.6%,5.1%,,24.6%,None,Medio-baja,-4.952356761,,None,86.50,87.28,275.02,335.13
Metropolitana,13,Lampa,13302,126898,63192,50,63706,50,32098,25.29433088,87135,68.6653848,7665,6.040284323,"139,266","69,346","69,920",24.91,68.44,6.65,450.15,281.90,309.38,20.85,11.08,3.77,3.6%,25.8%,10.2%,4.9%,,25.6%,None,Medio-baja,-5.578378384,,None,69.35,126.30,190.70,356.07
Metropolitana,13,Tiltil,13303,21477,10725,50,10752,50,4438,20.6639661,14715,68.51515575,2324,10.82087815,"22,262","11,107","11,155",20.29,67.81,11.89,654.23,32.83,34.03,32.32,8.09,2.65,6.8%,23.7%,10.1%,6.1%,,28.9%,None,Medio-baja,-4.186066851,,None,74.50,137.72,265.40,399.39
Metropolitana,13,San Bernardo,13401,334836,165636,49,169200,51,73181,21.85577417,231185,69.04424853,30470,9.099977302,"345,583","171,025","174,558",21.52,68.47,10.01,152.88,"2,190.25","2,260.55",1.68,11.54,2.59,9.4%,26.1%,10.7%,6.0%,,18.7%,None,Medio-baja,-4.299793537,,None,137.98,165.17,298.65,531.50
Metropolitana,13,Buin,13402,109641,54264,49,55377,51,23599,21.52388249,76088,69.39739696,9954,9.078720552,"116,032","57,533","58,499",21.14,68.89,9.97,217.50,504.10,533.49,14.18,8.33,1.86,8.0%,24.9%,8.5%,4.4%,,19.1%,None,Medio-baja,-6.124597449,,None,124.04,117.93,155.96,380.58
Metropolitana,13,Calera de Tango,13403,28525,14178,50,14347,50,5761,20.19631902,19945,69.92112182,2819,9.882559159,"29,880","14,866","15,014",19.87,69.27,10.85,73.15,389.96,408.48,54.53,6.16,2.25,3.5%,22.1%,9.2%,3.5%,,18.6%,None,Medio-baja,-6.879330182,,None,63.10,130.95,199.82,461.77
Metropolitana,13,Paine,13404,82766,41201,50,41565,50,17525,21.17415364,56877,68.72024744,8364,10.10559892,"87,059","43,369","43,690",20.79,68.13,11.09,677.66,122.13,128.47,35.74,8.87,2.91,4.2%,22.3%,11.0%,5.9%,,20.9%,None,Medio-baja,-2.489060848,,None,95.45,96.00,108.74,319.98
Metropolitana,13,Melipilla,13501,141612,70347,50,71265,50,28576,20.17908087,96140,67.88972686,16896,11.93119227,"147,275","73,238","74,037",19.77,67.16,13.07,"1,352.15",104.73,108.92,31.47,7.26,2.55,5.2%,24.9%,9.1%,7.6%,,22.8%,None,Medio-baja,-3.864563333,,None,105.92,171.79,58.61,212.13
Metropolitana,13,Alhué,13502,7405,3733,50,3672,50,1428,19.28426739,5079,68.58879136,898,12.12694126,"7,756","3,907","3,849",18.88,67.86,13.27,844.64,8.77,9.18,56.80,5.30,3.57,6.7%,20.3%,7.2%,9.6%,,29.1%,None,Medio-baja,-1.827460931,,None,40.51,106.16,108.04,398.09
Metropolitana,13,Curacaví,13503,36430,18079,50,18351,50,7231,19.84902553,24693,67.78204776,4506,12.36892671,"37,932","18,851","19,081",19.43,67.03,13.55,694.07,52.49,54.65,37.51,7.45,2.15,7.4%,22.6%,9.6%,6.0%,,25.8%,None,Medio-baja,-2.266321011,,None,63.13,137.87,120.78,254.12
Metropolitana,13,María Pinto,13504,14926,7402,50,7524,50,2962,19.84456653,10179,68.19643575,1785,11.95899772,"15,503","7,675","7,828",19.44,67.45,13.11,394.60,37.83,39.29,50.94,7.83,0.98,10.8%,33.1%,10.3%,7.3%,,27.2%,None,Medio-alta,0.726705008,,None,60.30,105.74,80.40,171.82
Metropolitana,13,San Pedro,13505,11953,6031,50,5922,50,2371,19.83602443,7850,65.6738894,1732,14.49008617,"12,412","6,252","6,160",19.38,64.82,15.81,787.97,15.17,15.75,100.00,8.06,2.91,9.3%,31.8%,13.3%,14.1%,,31.9%,None,Medio-alta,5.98576175,,None,41.83,98.91,16.73,164.85
Metropolitana,13,Talagante,13601,81838,40453,49,41385,51,17073,20.86194677,56546,69.09504142,8219,10.0430118,"84,670","41,868","42,802",20.50,68.47,11.03,126.60,646.45,668.82,20.24,8.17,2.01,3.7%,21.3%,8.9%,6.3%,,17.0%,None,Medio-baja,-5.894285192,,None,114.86,144.75,208.95,188.18
Metropolitana,13,El Monte,13602,40014,19798,49,20216,51,8699,21.73989104,27051,67.60383866,4264,10.65627031,"41,711","20,678","21,033",21.36,66.94,11.70,114.87,348.33,363.11,16.36,10.06,1.42,8.7%,33.7%,11.8%,7.1%,,23.0%,None,Medio-baja,-1.033614876,,None,129.95,130.48,187.43,155.10
Metropolitana,13,Isla de Maipo,13603,40171,19914,50,20257,50,8548,21.27903214,27356,68.0988773,4267,10.62209056,"41,876","20,777","21,099",20.89,67.45,11.66,189.34,212.17,221.17,25.62,7.66,1.56,8.3%,27.2%,11.5%,6.4%,,22.9%,None,Medio-baja,-2.399449362,,None,82.15,117.64,181.72,144.60
Metropolitana,13,Padre Hurtado,13604,74188,36769,50,37419,50,15999,21.56548229,51342,69.20526231,6847,9.229255405,"79,925","39,613","40,312",21.20,68.66,10.14,81.07,915.13,985.90,11.89,10.82,2.48,8.8%,21.6%,9.0%,3.7%,,19.6%,None,Medio-baja,-5.140793885,,None,115.92,123.33,203.54,493.32
Metropolitana,13,Peñaflor,13605,101058,49844,49,51214,51,21490,21.26501613,69096,68.3726177,10472,10.36236617,"105,498","52,173","53,325",20.89,67.74,11.37,69.33,"1,457.64","1,521.68",7.91,8.28,1.65,4.9%,13.5%,9.0%,7.3%,,15.1%,None,Medio-baja,-6.879977505,,None,152.39,150.97,238.48,466.56
Los Ríos,14,Valdivia,14101,176774,85976,49,90798,51,31299,17.70565807,123808,70.03744895,21667,12.25689298,"180,848","87,553","93,295",17.06,69.42,13.52,965.72,183.05,187.27,6.84,17.77,1.38,7.6%,14.1%,9.8%,3.4%,,13.9%,None,Medio-baja,-10.27384567,,None,26.02,141.95,101.82,332.16
Los Ríos,14,Corral,14102,5447,2699,50,2748,50,954,17.51422802,3566,65.46722967,927,17.01854232,"5,432","2,692","2,740",16.86,64.40,18.74,720.00,7.57,7.54,34.35,31.40,0.59,23.1%,35.0%,15.4%,7.6%,,23.2%,None,Medio-alta,7.425593304,,None,55.08,91.83,55.08,220.39
